37,49,74,77,27,24,68
84,30,63,65,66,65,34
2,47,14,82,18,37,91
66,61,32,70,25,46,83
61,13,55,61,2,68,24
48,71,73,75,56,16,9
37,93,45,58,68,81,54
48,74,90,38,64,16,98
19,6,86,85,92,76,95
86,14,78,15,52,32,38
68,99,2,70,53,28,48
96,69,43,31,28,16,84
35,5,53,60,35,93,51
10,5,68,28,92,64,67
6,84,76,7,72,16,23
15,42,39,32,28,61,65
91,47,93,39,59,34,37
83,68,2,93,97,24,6
65,20,84,43,34,89,70
17,21,72,65,98,94,85
72,56,51,97,95,3,27
32,77,37,78,82,41,7
49,3,28,14,20,1,14
19,46,43,85,28,33,67
50,30,25,25,44,48,12
82,95,18,37,67,75,13
35,24,84,77,62,11,65
27,93,18,29,7,59,12
50,10,29,32,22,18,76
61,22,43,26,45,49,45
81,75,23,62,18,49,76
30,72,56,50,18,78,30
37,89,45,77,0,77,73
29,98,48,38,43,21,66
62,96,80,50,44,94,77
50,32,23,13,49,63,9
34,46,93,56,54,15,97
18,13,90,26,80,11,67
52,47,55,36,29,63,49
78,28,37,67,81,39,8
87,17,39,55,89,67,23
2,52,99,1,16,59,3
47,12,35,38,58,14,35
28,64,80,35,29,94,49
2,51,0,72,50,50,12
14,59,95,11,53,61,32
12,53,8,24,84,10,88
56,29,27,45,67,36,56
9,58,62,11,66,17,7
64,1,76,65,73,59,35
66,41,72,40,60,91,81
21,87,51,25,39,23,49
34,93,64,15,31,57,72
86,95,19,84,54,30,70
92,6,6,26,44,1,79
46,80,49,90,19,62,39
88,64,76,14,63,62,91
49,0,73,17,95,93,89
0,16,94,8,86,88,81
76,17,11,65,25,55,33
70,79,3,2,25,45,7
45,46,96,75,16,88,94
21,49,63,56,86,3,10
97,12,42,84,33,45,99
96,2,61,24,53,93,39
8,83,81,19,74,17,49
71,45,89,28,50,43,95
37,69,67,47,94,9,84
79,56,16,58,78,89,89
10,70,36,24,60,17,92
22,8,43,47,14,52,4
1,8,54,43,7,56,66
50,72,9,73,82,32,86
92,68,1,81,57,69,9
32,20,67,17,46,55,55
6,55,98,43,35,70,31
31,43,63,17,99,74,68
64,36,69,18,91,49,26
33,45,52,14,73,14,13
72,64,38,44,55,44,46
16,74,71,30,80,73,93
73,42,65,56,87,49,19
25,18,87,60,27,35,37
21,9,1,8,44,43,88
30,24,44,47,83,9,22
31,30,47,93,77,95,13
55,56,6,43,87,47,94
6,16,58,47,51,26,32
54,49,75,45,75,91,42
66,27,74,29,56,80,10
49,61,7,26,52,92,95
66,96,49,37,68,11,74
85,73,14,72,55,89,42
91,20,5,51,65,10,63
19,74,51,50,7,36,37
68,4,97,14,40,12,5
11,94,40,51,81,66,19
0,80,27,21,19,78,66
93,27,74,95,98,67,3
85,8,65,59,95,95,19
